disease,description,category,code_type,code,author,keep
Diabetes,DIABETES MELLITUS,Diabetes not otherwise specified (6),icd9,6480,caliber,Y
Diabetes,DIABETES MELLITUS,Secondary diabetes (5),icd9,6480,caliber,
Diabetic neurological complications,Diabetic (femoral mononeuropathy) & (Diabetic amyotrophy),Diagnosis of diabetic neurological complications,read3,Xa0lK,caliber,Y
Diabetic neurological complications,Diabetic (femoral mononeuropathy) & (Diabetic amyotrophy),History of diabetic neurological complications,read3,Xa0lK,caliber,
Diabetic neurological complications,Diabetic amyotrophy,Diagnosis of diabetic neurological complications,read3,XaPmX,caliber,Y
Diabetic neurological complications,Diabetic amyotrophy,History of diabetic neurological complications,read3,XaPmX,caliber,
End stage renal disease,End stage renal failure,Diagnosis of End stage renal disease,read3,X30J0,caliber,Y
End stage renal disease,End stage renal failure,Procedure for End stage renal disease,read3,X30J0,caliber,
Erectile dysfunction,Erectile dysfunction,Diagnosis of erectile dysfunction,read3,E2273,caliber,Y
Erectile dysfunction,Erectile dysfunction,Possible diagnosis of erectile dysfunction,read3,E2273,caliber,
Primary Malignancy_Other Organs,"HEAD, FACE AND NECK",Diagnosis of Primary Malignancy_Other Organs,icd9,1710,caliber,Y
Primary Malignancy_Other Organs,"HEAD, FACE AND NECK",Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1710,caliber,
Primary Malignancy_Other Organs,"UPPER LIMB, INCLUDING SHOULDER",Diagnosis of Primary Malignancy_Other Organs,icd9,1712,caliber,Y
Primary Malignancy_Other Organs,"UPPER LIMB, INCLUDING SHOULDER",Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1712,caliber,
Primary Malignancy_Other Organs,"LOWER LIMB, INCLUDING HIP",Diagnosis of Primary Malignancy_Other Organs,icd9,1713,caliber,Y
Primary Malignancy_Other Organs,"LOWER LIMB, INCLUDING HIP",Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1713,caliber,
Primary Malignancy_Other Organs,THORAX,Diagnosis of Primary Malignancy_Other Organs,icd9,1714,caliber,Y
Primary Malignancy_Other Organs,THORAX,Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1714,caliber,
Primary Malignancy_Other Organs,ABDOMEN,Diagnosis of Primary Malignancy_Other Organs,icd9,1715,caliber,Y
Primary Malignancy_Other Organs,ABDOMEN,Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1715,caliber,
Primary Malignancy_Other Organs,PELVIS,Diagnosis of Primary Malignancy_Other Organs,icd9,1716,caliber,Y
Primary Malignancy_Other Organs,PELVIS,Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1716,caliber,
Primary Malignancy_Other Organs,"TRUNK, UNSPECIFIED",Diagnosis of Primary Malignancy_Other Organs,icd9,1717,caliber,Y
Primary Malignancy_Other Organs,"TRUNK, UNSPECIFIED",Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1717,caliber,
Primary Malignancy_Other Organs,OTHER,Diagnosis of Primary Malignancy_Other Organs,icd9,1718,caliber,Y
Primary Malignancy_Other Organs,OTHER,Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1718,caliber,
Primary Malignancy_Other Organs,OTHER,Diagnosis of Primary Malignancy_Other Organs,icd9,1878,caliber,Y
Primary Malignancy_Other Organs,OTHER,Possible Diagnosis of Primary Malignancy_Other Organs,icd9,1878,caliber,
Tuberculosis,Late effects of tuberculosis of bones and joints,Diagnosis of tuberculosis,read3,AE03.,caliber,Y
Tuberculosis,Late effects of tuberculosis of bones and joints,History of tuberculosis,read3,AE03.,caliber,
Unstable Angina,Worsening angina,Unstable angina (3),read3,XE0Ui,caliber,
Unstable Angina,Worsening angina,Worsening angina (2),read3,XE0Ui,caliber,Y